Local time in East Rockland Key (airport);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
30.04.2022 23:53;25.0;762.6;762.8;69;Wind blowing from the east;7;10;;;Few clouds (10-30%) 870 m;16.0;19.0
30.04.2022 22:53;26.0;762.6;762.8;65;Wind blowing from the east-southeast;7;10;;;No clouds;16.0;19.0
30.04.2022 21:53;25.0;762.6;762.8;69;Wind blowing from the east;3;;;;No clouds;16.0;19.0
30.04.2022 20:53;26.0;762.3;762.5;65;Wind blowing from the east-northeast;5;;;;No clouds;16.0;19.0
30.04.2022 19:53;26.0;762.1;762.3;65;Wind blowing from the east;4;;;;No clouds;16.0;19.0
30.04.2022 18:53;26.0;761.0;761.2;65;Wind blowing from the east;5;7;;;No clouds;16.0;19.0
30.04.2022 17:53;27.0;760.8;761.0;62;Wind blowing from the east;4;;;;Few clouds (10-30%) 960 m;16.0;19.0
30.04.2022 16:53;27.0;760.5;760.7;62;Wind blowing from the east-southeast;5;;;;Few clouds (10-30%) 840 m;16.0;19.0
30.04.2022 15:53;27.0;760.8;761.0;66;Wind blowing from the south-east;4;;;;Few clouds (10-30%) 840 m;16.0;20.0
30.04.2022 14:53;27.0;761.0;761.2;62;Wind blowing from the east-southeast;4;;;;Few clouds (10-30%) 900 m;16.0;19.0
30.04.2022 13:53;27.0;761.3;761.5;66;Wind blowing from the south-east;5;;;;Few clouds (10-30%) 900 m;16.0;20.0
30.04.2022 12:53;28.0;761.5;761.7;58;Wind blowing from the south-east;4;;;;No clouds;16.0;19.0
30.04.2022 11:53;27.0;762.1;762.3;62;Wind blowing from the east-southeast;6;;;;No clouds;16.0;19.0
30.04.2022 10:53;27.0;762.6;762.8;62;Wind blowing from the east-southeast;6;;;;No clouds;16.0;19.0
30.04.2022 9:53;27.0;762.6;762.8;62;Wind blowing from the south-east;7;;;;Few clouds (10-30%) 990 m, scattered clouds (40-50%) 1440 m;16.0;19.0
30.04.2022 8:53;27.0;762.3;762.5;62;Wind blowing from the south-east;5;;;;No clouds;16.0;19.0
30.04.2022 7:53;26.0;761.8;762.0;65;Wind blowing from the south-east;5;;;;Few clouds (10-30%) 960 m;16.0;19.0
30.04.2022 6:53;25.0;761.5;761.7;65;Wind blowing from the south-east;6;;;;No clouds;16.0;18.0
30.04.2022 5:53;24.0;761.3;761.5;74;Wind blowing from the east-southeast;6;;;;No clouds;16.0;19.0
30.04.2022 4:53;24.0;760.8;761.0;74;Wind blowing from the east-southeast;5;;;;Few clouds (10-30%) 900 m;16.0;19.0
30.04.2022 3:53;24.0;760.8;761.0;74;Wind blowing from the east;6;;;;Few clouds (10-30%) 870 m;16.0;19.0
30.04.2022 2:53;24.0;760.5;760.7;74;Wind blowing from the east-southeast;7;10;;;Scattered clouds (40-50%) 870 m;16.0;19.0
30.04.2022 2:34;24.0;760.5;760.7;74;Wind blowing from the east-southeast;7;;;;Broken clouds (60-90%) 840 m;16.0;19.0
30.04.2022 1:53;24.0;760.8;761.0;74;Wind blowing from the east-southeast;7;;;;No clouds;16.0;19.0
30.04.2022 0:53;25.0;761.3;761.5;65;Wind blowing from the east;7;;;;No clouds;16.0;18.0
29.04.2022 23:53;25.0;762.1;762.3;69;Wind blowing from the east;6;10;;;No clouds;16.0;19.0
29.04.2022 22:53;25.0;762.6;762.8;69;Wind blowing from the east;5;;;;Few clouds (10-30%) 930 m;16.0;19.0
29.04.2022 21:53;25.0;762.3;762.5;69;Wind blowing from the east;6;;;;No clouds;16.0;19.0
29.04.2022 20:53;25.0;762.1;762.3;69;Wind blowing from the east;5;;;;No clouds;16.0;19.0
29.04.2022 19:53;25.0;761.5;761.7;69;Wind blowing from the east;4;;;;No clouds;16.0;19.0
29.04.2022 18:53;26.0;761.3;761.5;65;Wind blowing from the east-southeast;5;;;;No clouds;16.0;19.0
29.04.2022 17:53;26.0;760.8;761.0;65;Wind blowing from the east-southeast;4;;;;No clouds;16.0;19.0
29.04.2022 16:53;27.0;760.8;761.0;62;Wind blowing from the east-southeast;5;;;;No clouds;16.0;19.0
29.04.2022 15:53;27.0;761.0;761.2;62;Wind blowing from the south-east;5;;;;No clouds;16.0;19.0
29.04.2022 14:53;28.0;761.5;761.7;62;Wind blowing from the east-southeast;6;;;;Few clouds (10-30%) 930 m;16.0;20.0
29.04.2022 13:53;27.0;761.8;762.0;70;Wind blowing from the east-southeast;5;;;;No clouds;16.0;21.0
29.04.2022 12:53;27.0;762.1;762.3;62;Wind blowing from the south-east;5;10;;;Few clouds (10-30%) 900 m;16.0;19.0
